area_name_en,pcode,area_name_mm,15 above literacy rate,Invalid votes percentage (2015),eligible voters (2015),no of voters (2015) Voters,"no. of vote cast at 
polling station (2015) Voters",advance votes (2015) Voters,voters turnout (2015),invalid votes (2015),lost votes (2015),total invalid/loss votes (2015),no of votes (No of Votes) (2015),advance votes (No of Votes) (2015),total no of votes and advance votes (No of Votes) (2015),poverty rate,eligible voters (2010),no of voters (2010),voters turnout (2010),Latitude,Longitude
Kachin,MM01,????????????,91.70%,6.63%,877581,598283,546158,52125,68.17,31720,7941,39661,518341,40281,558622,36.60%,750916,531574,70.79,25.68365225,97.14090152
Kayah,MM02,???????????,82.10%,5.66%,178316,132018,121879,10139,74.04,7278,191,7469,114688,9861,124549,32.00%,138563,132126,95.35,19.34207861,97.36793664
Kayin,MM03,???????????,74.40%,6.91%,904973,417579,369366,48213,46.14,26171,2682,28853,340513,48213,388726,24.20%,489679,348323,71.13,17.38838072,97.66839558
Chin,MM04,????????????,79.40%,3.36%,274328,217687,202201,15486,79.35,6824,490,7314,195457,14916,210373,58.00%,233474,198368,84.96,22.14911972,93.4744076
Sagaing,MM05,??????????????????????,93.70%,4.86%,3803849,2846240,2684798,161442,74.83,133168,5149,138317,2549920,158003,2707923,30.70%,3117666,2277657,73.06,24.48049297,95.61120439
Tanintharyi,MM06,??????????????????????,92.80%,5.82%,985008,618784,579951,38833,62.82,29633,6357,35990,544250,38544,582794,13.20%,692022,586438,84.74,11.80693361,98.3864966
Bago,MM07,??????????????????,94.20%,4.43%,3530719,2533156,2367836,165320,71.75,104875,7433,112308,2261393,159455,2420848,17.40%,3044167,2347817,77.13,18.25818984,96.06936913
Magway,MM08,??????????????????,92.20%,3.67%,3026733,2314366,2181986,132380,76.46,81857,3091,84948,2101190,128228,2229418,35.60%,2696383,2250196,83.45,20.44894314,94.88386329
Mandalay,MM09,????????????????????,93.80%,3.79%,4424727,3221443,3088430,133013,72.81,117137,5057,122194,2970293,128956,3099249,13.20%,4393878,3557497,80.96,21.80157492,96.16182336
Mon,MM10,???????????,86.60%,5.42%,5134486,782832,727004,55828,15.25,37456,5002,42458,685883,54491,740374,19.20%,1016952,639980,62.93,16.37096595,97.59697976
Rakhine,MM11,?????????????,84.70%,7.20%,1466792,1003744,946051,57693,68.43,67164,5082,72246,874137,57361,931498,41.60%,1441494,1241900,86.15,19.50405317,93.67447376
Yangon,MM12,????????????????????,96.60%,3.35%,4990971,3266233,3084839,181394,65.44,93344,16044,109388,2981887,174958,3156845,13.70%,4477113,3095333,69.14,16.95459042,96.15848543
Shan,MM13,????????????,64.60%,7.05%,3140621,2091936,1935782,156154,66.61,135975,11480,147455,1801032,143449,1944481,28.60%,2624923,2022860,77.06,21.74121281,97.60163341
Ayeyarwady,MM14,???????????????????,93.80%,4.64%,4403618,3325393,3124446,200947,75.52,146298,8051,154349,2974711,196333,3171044,31.70%,3904378,3191054,81.73,16.60396198,94.87821853
,,,Avg 87.19,Avg 5.2,,,,,,,,,,,,Avg 28.26,,,,,
